Job Title,Account Tier,Strength,Decision-Making Power / Seniority  ,Vertical,Sub-Vertical,Pod,Industry,Original Source,Original Source Drill-Down 1
Head of Marketing and Ecom,4,B ,B - SVP/VP in decision-making position,Travel,Travel - Other,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS
Director - Performance Improvement,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,PRESENTATIONS
Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,PRESENTATIONS
E-Commerce Optimisation Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Site Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Software Engineer,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Chief Technology Officer,4,A ,A - CEO/CXO,Travel,Travel - Other,Travel,Commercial Real Estate,Offline Sources,SEQUENCES
Founder and Director,6,A ,A - CEO/CXO,Food and Beverage,CPG,Food Services,Consumer Goods,Offline Sources,SALES
Growth Product Manager,4,C ,C - Lower-level in relevant teams,Travel,Travel - Other,Travel,Commercial Real Estate,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
',4,C ,C - Lower-level in relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
Program Management,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES
CEO & Co-Founder,6,A ,A - CEO/CXO,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SEQUENCES
Director Of Affiliate Marketing,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,SALES
Founder & CEO,5,A ,A - CEO/CXO,Retail,Gifts,Retail,RETAIL,Offline Sources,SALES
Chief Growth Officer,4,A ,A - CEO/CXO,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES
VP of Technology,4,D ,D - Lower-level in non-relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES
Marketing Manager,4,C ,C - Lower-level in relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES
Senior Business Development Manager,4,C ,C - Lower-level in relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Front End Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Head Of Technical Projects,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
,6,X ,X - Not Specified,Services,Local,Travel,"Leisure, Travel & Tourism",Organic Search,Unknown keywords (SSL)
Tech Lead,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Referrals,my.rokt.com
Chief Commercial Officer & MD Global Ticketing,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,SALES
Special Projects,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES
Chief Technology Officer,4,A ,A - CEO/CXO,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES
,4,X ,X - Not Specified,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,SALES
Director Of Merchandising,4,D ,D - Lower-level in non-relevant teams,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,SALES
,5,F ,F - Left the company,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Engineering Director,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
Senior Software Engineer,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
,4,X ,X - Not Specified,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
Senior Software Engineer,4,D ,D - Lower-level in non-relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES
Head Of Marketing,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
Head of Business Development,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Digital Marketing Executive,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Calendar,SPORTS,Organic Search,Unknown keywords (SSL)
"Director, Corporate Planning",4,D ,D - Lower-level in non-relevant teams,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,SALES
Executive Director of Consumer Revenue,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,CONTACTS
SVP Business Development,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Senior Analytics Engineer,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
FP&A Analyst,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,SALES
Marketing & Design Manager,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,SALES
Customer Relationship Management Coordinator,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES
Head of Product & Strategy,4,B ,B - SVP/VP in decision-making position,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES
Technical Product Manager,4,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Direct Traffic,rokt.com/request-a-demo
CFO,4,A ,A - CEO/CXO,Services,Software and Digital,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES
National Partnerships Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT
Patnership Manager,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Head of Sales,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
Head of Partnerships,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT
VP Marketing,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS
,4,F ,F - Left the company,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Ecommerce Director,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES
"Manager, Global Brand & Content Strategy",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Seventeen Style Pros,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Deputy Editor,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Product Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Editor-in-Chief Cosmopolitan,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
Customer Relationship Management Lead,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
"SVP, Product",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,CONTACTS
"Director, Program Management",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
"President & GM, Home Ecosystem",4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
VP Product,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Organic Search,Unknown keywords (SSL)
Founder & CEO,5,A ,A - CEO/CXO,Services,Software and Digital,FinServ,Computer Software,Offline Sources,SALES
Assistant Management Accountant,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Assistant Management Accountant,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Finance Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Global Head of Trading - THG Ingenuity,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Web Analytics & Experimentation Strategy Lead,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,4,X ,X - Not Specified,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES
Vice President of Information Technology,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
Sales Director,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES
Digital Leader,5,C ,C - Lower-level in relevant teams,Travel,Travel - Other,Travel,Travel & Tourism,Offline Sources,SALES
eCommerce Specialist,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT
"SVP, Business Development",4,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,Deals,PUBLISHING,Offline Sources,SALES
Head of Performance Marketing - Beauty Division,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Head of CRM,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,4,X ,X - Not Specified,Ticketing,Movies,Entertainment,Arts & Entertainment,Offline Sources,IMPORT
,5,F ,F - Left the company,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT
,5,X ,X - Not Specified,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,IMPORT
Exhibition Marketing Executive,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,SEQUENCES
National Marketing Manager (Advertising & Digital),4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT
Senior Director of Customer Acquisition,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
PPC Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Director,5,D ,D - Lower-level in non-relevant teams,Retail,Sporting Goods,Retail,SPORTING_GOODS,Organic Search,Unknown keywords (SSL)
Data Intelligence Analyst (Marketing),5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES
"Associate Director, Digital Acquisition Marketing",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES
,4,X ,X - Not Specified,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES
Customer Success Director,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API
Affiliate Manager - Central,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
SVP Marketing and Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,RETAIL,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
Senior .NET Web Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
Vice President of Marketing and Innovation,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
"Manager, Analytics & Insights",4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
Platform Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
Designer,5,D ,D - Lower-level in non-relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES
Affiliate Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,4,X ,X - Not Specified,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Digital Media Specialist,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,INTEGRATION
"Manager, Search & Display",4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,INTEGRATION
Production & Talent Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,INTEGRATION
Creative,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,INTEGRATION
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,INTEGRATION
Resigned Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,INTEGRATION
Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION
Head of Digital Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION
Information Security Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,INTEGRATION
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,CONTACTS
Financial Controller,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES
,4,X ,X - Not Specified,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES
"Vice President, Marketing and Privacy Counsel",5,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
National Advertising Sales Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES
Operations Project Manager,4,D ,D - Lower-level in non-relevant teams,Travel,Parking,Travel,Travel & Tourism,Organic Search,Unknown keywords (SSL)
Product Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Vice-president Digital & E-Commerce,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,SALES
e-Commerce and Digital Marketing Director Europe,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,RETAIL,Offline Sources,SALES
,5,X ,X - Not Specified,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Direct Traffic,platform.rokt.com/welcome/campaign
IT Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES
Media Planner and Buyer,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Organic Search,Unknown keywords (SSL)
,5,X ,X - Not Specified,Media and Entertainment,"Music, Movies and Photography",Entertainment,Music,Offline Sources,SALES
Public Relations Manager,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
eCommerce Business Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,SALES
Head of Marketing and Content,5,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Direct Traffic,rokt.com/
CEO,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
"Head, Performance Marketing - Beauty",5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
Vice President of Product,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES
Head of CRM,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS
Customer Feedback Specialist,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Social Media Moderator,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,5,X ,X - Not Specified,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES
"Brand Manager, Strategic Projects",4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES
,5,F ,F - Left the company,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES
Chief Digital Officer,4,A ,A - CEO/CXO,Sports and Fitness,Sports,Entertainment,Sports,Direct Traffic,rokt.com/
CCO & Co-founder,6,A ,A - CEO/CXO,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS
n/a,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
CTO Digital Experiences and CMO,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
,5,F ,F - Left the company,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES
,5,X ,X - Not Specified,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Customer Support Lead,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Principal Application Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Security Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,5,X ,X - Not Specified,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Managing Director,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES
,5,X ,X - Not Specified,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,IMPORT
General Manager - Brand and eCommerce,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,IMPORT
Head of Ecommerce,6,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,SALES
Marketing Coordinator,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Paid Media Optimisation Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Head Of Customer Experience,5,B ,B - SVP/VP in decision-making position,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
,4,X ,X - Not Specified,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Trading Analytics Partner,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Senior Head of Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,SALES
,4,F ,F - Left the company,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,SALES
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
Chief Technology Officer & Co-Founder,5,A ,A - CEO/CXO,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES
,4,X ,X - Not Specified,Retail,Retail - Other,Retail,Computer Software,Offline Sources,SALES
Software Operations Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
Chief Growth Officer,5,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,SALES
User Experience Lead,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES
,4,F ,F - Left the company,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
,4,F ,F - Left the company,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
Head Of Marketing,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES
Brand Strategist,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES
BA,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Direct Traffic,rokt.com/
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Chief Executive Officer,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,IMPORT
Customer Service Administrator,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
,4,X ,X - Not Specified,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Co-Founder & Head of Digital Marketing,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Social Media Content Manager - ANZ,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES
Associate Director - Book Marketing,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12
,5,X ,X - Not Specified,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Direct Traffic,platform.rokt.com/welcome/campaign
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
Content Designer,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES
Affiliate & Social Manager,6,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,CONTACTS
"Account Manager, SMB",4,D ,D - Lower-level in non-relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
,4,X ,X - Not Specified,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION
"Director, Marketing Communications",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12
,4,X ,X - Not Specified,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES
CEO,4,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,SALES
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES
Head Of Corporate Communications,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12
Campaigns and Partnerships Marketing Executive,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS
Director of Growth Marketing,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,IMPORT
