0,1,2,3,4,5,6,7,8,9,Stored Title
Senior Analytics Engineer,4,D ,D - Lower-level in non-relevant teams,B2B,Marketing and Advertising,Deals,Marketing and Advertising,Offline Sources,SALES,Senior Analytics Engineer
FP&A Analyst,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,ENTERTAINMENT,Offline Sources,SALES,FP&A Analyst
Marketing & Design Manager,6,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Entertainment,EVENTS_SERVICES,Offline Sources,SALES,Marketing & Design Manager
Customer Relationship Management Coordinator,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES,COO
Head of Product & Strategy,4,B ,B - SVP/VP in decision-making position,Travel,Parking,Travel,Travel & Tourism,Offline Sources,SALES,Head of Product & Strategy
Technical Product Manager,4,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Direct Traffic,rokt.com/request-a-demo,Technical Product Manager
CFO,4,A ,A - CEO/CXO,Services,Software and Digital,Entertainment,COMPUTER_SOFTWARE,Offline Sources,SALES,CFO
National Partnerships Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT,National Partnerships Manager
National Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT,National Marketing Manager
Patnership Manager,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Patnership Manager
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Business Development Manager
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Business Development Manager
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Business Development Manager
Business Development Manager,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Business Development Manager
Head of Sales,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Head of Sales
Head of Partnerships,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,IMPORT,Head of Partnerships
VP Marketing,4,B ,B - SVP/VP in decision-making position,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Offline Sources,CONTACTS,Vice President
Ecommerce Director,6,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES,Director
"Manager, Global Brand & Content Strategy",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,"Manager, Global Brand & Content Strategy"
Seventeen Style Pros,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Seventeen Style Pros
Deputy Editor,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Deputy Editor
Product Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Product Manager
Editor-in-Chief Cosmopolitan,4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Editor-in-Chief Cosmopolitan
Customer Relationship Management Lead,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Customer Relationship Management Lead
"SVP, Product",4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,CONTACTS,Vice President
"Director, Program Management",4,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Director
"President & GM, Home Ecosystem",4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,General Manager
VP Product,4,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Organic Search,Unknown keywords (SSL),Vice President
Founder & CEO,5,A ,A - CEO/CXO,Services,Software and Digital,FinServ,Computer Software,Offline Sources,SALES,CEO
Assistant Management Accountant,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Assistant Management Accountant
Assistant Management Accountant,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Assistant Management Accountant
Finance Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Finance Manager
Global Head of Trading - THG Ingenuity,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Global Head of Trading - THG Ingenuity
Web Analytics & Experimentation Strategy Lead,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Web Analytics & Experimentation Strategy Lead
Vice President of Information Technology,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,President
Sales Director,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES,Director
Digital Leader,5,C ,C - Lower-level in relevant teams,Travel,Travel - Other,Travel,Travel & Tourism,Offline Sources,SALES,Digital Leader
eCommerce Specialist,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,eCommerce Specialist
Email Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT,Email Marketing Manager
Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,IMPORT,Marketing Manager
"SVP, Business Development",4,B ,B - SVP/VP in decision-making position,B2B,Marketing and Advertising,Deals,PUBLISHING,Offline Sources,SALES,Vice President
Head of Performance Marketing - Beauty Division,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Head of Performance Marketing
Head of CRM,5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Head of CRM
Exhibition Marketing Executive,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,SEQUENCES,Exhibition Marketing Executive
National Marketing Manager (Advertising & Digital),4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Media,Entertainment,Offline Sources,IMPORT,National Marketing Manager (Advertising & Digital)
Senior Director of Customer Acquisition,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Director
PPC Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,PPC Manager
Director,5,D ,D - Lower-level in non-relevant teams,Retail,Sporting Goods,Retail,SPORTING_GOODS,Organic Search,Unknown keywords (SSL),Director
Data Intelligence Analyst (Marketing),5,C ,C - Lower-level in relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES,Data Intelligence Analyst (Marketing)
"Associate Director, Digital Acquisition Marketing",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Director
Customer Success Director,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Director
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,API,Digital Marketing Manager
Affiliate Manager - Central,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Affiliate Manager
SVP Marketing and Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,RETAIL,Offline Sources,SALES,Vice President
Senior .NET Web Developer,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES,Developer
Vice President of Marketing and Innovation,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES,President
"Manager, Analytics & Insights",4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,"Manager, Analytics & Insights"
Platform Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,SALES,Platform Manager
Designer,5,D ,D - Lower-level in non-relevant teams,Travel,Automotive,Travel,TRANSPORTATION_TRUCKING_RAILROAD,Offline Sources,SALES,Designer
Affiliate Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Affiliate Marketing Manager
Digital Media Specialist,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,INTEGRATION,Digital Media Specialist
"Manager, Search & Display",4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food and Beverage Subscriptions,Subscription,Food & Beverages,Offline Sources,INTEGRATION,"Manager, Search & Display"
Production & Talent Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,INTEGRATION,Production & Talent Manager
Creative,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,INTEGRATION,Creative
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,INTEGRATION,Director
Resigned Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,INTEGRATION,Director
Marketing Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION,Marketing Manager
Head of Digital Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,INTEGRATION,Head of Digital Marketing
Information Security Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,INTEGRATION,Information Security Analyst
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Movies,Entertainment,RESTAURANTS,Offline Sources,CONTACTS,Digital Marketing Manager
Financial Controller,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES,Financial Controller
"Vice President, Marketing and Privacy Counsel",5,B ,B - SVP/VP in decision-making position,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,President
National Advertising Sales Manager,5,C ,C - Lower-level in relevant teams,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES,National Advertising Sales Manager
Operations Project Manager,4,D ,D - Lower-level in non-relevant teams,Travel,Parking,Travel,Travel & Tourism,Organic Search,Unknown keywords (SSL),Operations Project Manager
Product Manager,5,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Product Manager
Vice-president Digital & E-Commerce,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,SALES,President
e-Commerce and Digital Marketing Director Europe,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,RETAIL,Offline Sources,SALES,Director
IT Manager,5,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,SALES,IT Manager
Media Planner and Buyer,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Organic Search,Unknown keywords (SSL),Media Planner and Buyer
Public Relations Manager,5,D ,D - Lower-level in non-relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,Public Relations Manager
eCommerce Business Analyst,4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Offline Sources,SALES,eCommerce Business Analyst
Head of Marketing and Content,5,B ,B - SVP/VP in decision-making position,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Direct Traffic,rokt.com/,Head Of Marketing
CEO,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,CEO
Marketing Director,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,Director
"Head, Performance Marketing - Beauty",5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,"Head, Performance Marketing - Beauty"
Vice President of Product,4,B ,B - SVP/VP in decision-making position,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,SALES,President
Head of CRM,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS,Head of CRM
Customer Feedback Specialist,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Customer Feedback Specialist
Social Media Moderator,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Social Media Moderator
"Brand Manager, Strategic Projects",4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Brand Manager
Chief Digital Officer,4,A ,A - CEO/CXO,Sports and Fitness,Sports,Entertainment,Sports,Direct Traffic,rokt.com/,Chief Digital Officer
CCO & Co-founder,6,A ,A - CEO/CXO,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS,Founder
n/a,6,D ,D - Lower-level in non-relevant teams,Services,Local,Travel,"Leisure, Travel & Tourism",Offline Sources,CONTACTS,n/a
CTO Digital Experiences and CMO,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,Digital Experience
Customer Support Lead,4,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Computer Software,Offline Sources,SALES,Customer Support Lead
Principal Application Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Principal Application Engineer
Security Engineer,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Security Engineer
Managing Director,5,A ,A - CEO/CXO,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Director
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,IMPORT,Digital Marketing Manager
General Manager - Brand and eCommerce,4,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,IMPORT,General Manager
Digital Marketing Manager,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,RETAIL,Offline Sources,IMPORT,Digital Marketing Manager
Head of Ecommerce,6,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,SALES,Head of Ecommerce
Marketing Coordinator,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES,COO
Paid Media Optimisation Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Paid Media Optimisation Manager
Head Of Customer Experience,5,B ,B - SVP/VP in decision-making position,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,Head Of Customer Experience
Trading Analytics Partner,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Trading Analytics Partner
Senior Head of Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Head Of Marketing
Digital Marketing Manager,5,C ,C - Lower-level in relevant teams,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,Digital Marketing Manager
Chief Technology Officer & Co-Founder,5,A ,A - CEO/CXO,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,Chief Technology Officer
Software Operations Analyst,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Software Operations Analyst
Chief Growth Officer,5,A ,A - CEO/CXO,Retail,Fashion,Retail,Retail,Offline Sources,SALES,Chief Growth Officer
User Experience Lead,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Offline Sources,SALES,User Experience Lead
Head Of Marketing,6,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES,Head Of Marketing
Brand Strategist,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES,Brand Strategist
BA,5,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,Retail,Direct Traffic,rokt.com/,BA
Chief Executive Officer,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,IMPORT,CEO
Customer Service Administrator,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Customer Service Administrator
Co-Founder & Head of Digital Marketing,4,A ,A - CEO/CXO,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Founder
Social Media Content Manager - ANZ,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Social Media Content Manager - ANZ
Associate Director - Book Marketing,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12,Director
Content Designer,6,D ,D - Lower-level in non-relevant teams,Retail,Retail - Other,Retail,Retail,Offline Sources,SALES,Content Designer
Affiliate & Social Manager,6,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,CONTACTS,Affiliate & Social Manager
"Account Manager, SMB",4,D ,D - Lower-level in non-relevant teams,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,INTEGRATION,Account Manager
"Director, Marketing Communications",4,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Retail,LUXURY_GOODS_JEWELRY,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12,Director
CEO,4,A ,A - CEO/CXO,Retail,Beauty and Personal Care,Retail,Cosmetics,Offline Sources,SALES,CEO
Customer Experience Manager,4,C ,C - Lower-level in relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES,Customer Experience Manager
Head Of Corporate Communications,4,D ,D - Lower-level in non-relevant teams,Ticketing,Movies,Entertainment,COMPUTER_SOFTWARE,Direct Traffic,e3875d32-ab81-48f1-9e78-493eae864f12,Head Of Corporate Communications
Campaigns and Partnerships Marketing Executive,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,Campaigns and Partnerships Marketing Executive
Director of Growth Marketing,5,C ,C - Lower-level in relevant teams,Sports and Fitness,Sports,Entertainment,Sports,Offline Sources,IMPORT,Director
Marketing Coordinator,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT,COO
Volunteer,4,D ,D - Lower-level in non-relevant teams,Automotive,Automotive - Other,Entertainment,Commercial Real Estate,Offline Sources,SALES,Volunteer
Women's Health Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,SALES,Director
Senior Vice President of Business Development,4,B ,B - SVP/VP in decision-making position,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT,President
Founder and Chief Executive Officer,4,A ,A - CEO/CXO,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT,CEO
Senior Vice President Merchandising and Marketing,4,B ,B - SVP/VP in decision-making position,B2B,Office Supplies,B2B,BUSINESS_SUPPLIES_AND_EQUIPMENT,Offline Sources,IMPORT,President
"Senior Director, Integrated Marketing",4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT,Director
Digital Director,4,C ,C - Lower-level in relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,Arts & Entertainment,Offline Sources,IMPORT,Director
Head of Mobile Development,5,B ,B - SVP/VP in decision-making position,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES,Head of Mobile Development
GM - Technology,4,A ,A - CEO/CXO,Media and Entertainment,Media and Entertainment - Other,Media,Events Services,Offline Sources,SALES,General Manager
Tech Lead,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Tech Lead
Information Technology Director,4,D ,D - Lower-level in non-relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,Director
Director of Product Development,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,Director
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,Chief Financial Officer
Senior Manager of Digital Customization,4,C ,C - Lower-level in relevant teams,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,Senior Manager of Digital Customization
Vice President Ecommerce,4,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,RETAIL,Offline Sources,IMPORT,President
Director of Partnerships,4,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,Director
Associate Director - FP&A,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,INTEGRATION,Director
Co-Founder,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,TEXTILES,Offline Sources,SALES,Founder
Cofounder,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,Founder
President,4,A ,A - CEO/CXO,Retail,Retail - Other,Deals,TEXTILES,Other Campaigns,advertisehere,President
CTO,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,CTO
Senior Developer,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Developer
Business Solutions Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Business Solutions Manager
Vice President,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,President
"Deputy CEO, COO",4,A ,A - CEO/CXO,Travel,Airlines,Travel,AIRLINES_AVIATION,Offline Sources,CONTACTS,CEO
Senior Web & Mobile Developer,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Developer
Chief Operating Officer,4,A ,A - CEO/CXO,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Chief Operating Officer
Chief Financial Officer,4,A ,A - CEO/CXO,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES,Chief Financial Officer
Head of Performance Marketing,5,B ,B - SVP/VP in decision-making position,Retail,Fashion,Retail,Retail,Offline Sources,CONTACTS,Head of Performance Marketing
Senior CRM Executive - Luxury Division,5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,IMPORT,Senior CRM Executive - Luxury Division
Chief Technology Officer,5,A ,A - CEO/CXO,Services,Software and Digital,Telco,REAL_ESTATE,Offline Sources,SALES,Chief Technology Officer
Head of Marketing and Analysis,5,B ,B - SVP/VP in decision-making position,Food and Beverage,Wine and Beer Subscriptions,Subscription,Food & Beverages,Offline Sources,SALES,Head Of Marketing
Brand Manager (Mama Mio & Mio),5,C ,C - Lower-level in relevant teams,Retail,Retail - Other,Subscription,Retail,Offline Sources,SALES,Brand Manager
Head of Investor and Government Relations,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Head of Investor and Government Relations
VP of Finance; Corporate Controller,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Deals,Consumer Goods,Offline Sources,SALES,Vice President
Purchasing Systems Coordinator,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,COO
Mr,4,D ,D - Lower-level in non-relevant teams,Retail,Loyalty and Rebate,Telco,"News, Media & Publications",Offline Sources,SALES,Mr
Channel Marketing Manager - Digital Ventures,5,C ,C - Lower-level in relevant teams,Retail,Deals and Group Buying,B2B,Marketing and Advertising,Offline Sources,SALES,Channel Marketing Manager - Digital Ventures
Senior Legal Counsel,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Senior Legal Counsel
Senior Legal Counsel,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Senior Legal Counsel
Advertising Executive,5,C ,C - Lower-level in relevant teams,Retail,Loyalty and Rebate,Retail,Marketing and Advertising,Offline Sources,IMPORT,Advertising Executive
Display Manager,4,D ,D - Lower-level in non-relevant teams,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Direct Traffic,rokt.com/,Display Manager
CMO,4,A ,A - CEO/CXO,Retail,Electronics,Retail,COMPUTER_SOFTWARE,Direct Traffic,rokt.com/,CMO
"Head, Social - MyProtein",5,B ,B - SVP/VP in decision-making position,Retail,Retail - Other,Subscription,Retail,Offline Sources,CONTACTS,"Head, Social - MyProtein"
Data Manager,4,D ,D - Lower-level in non-relevant teams,Ticketing,Events,Entertainment,ENTERTAINMENT,Offline Sources,SALES,Data Manager
Global IT PMO Lead,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Global IT PMO Lead
Team Leader,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Team Leader
Business Integration,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Business Integration
Brand Manager,4,C ,C - Lower-level in relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Brand Manager
Business Integration,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Business Integration
Senior FP&A Manager,5,D ,D - Lower-level in non-relevant teams,Media and Entertainment,Media and Entertainment Subscriptions,Subscription,DESIGN,Offline Sources,SALES,Senior FP&A Manager
Business Manager ISGO,4,D ,D - Lower-level in non-relevant teams,Food and Beverage,Food Delivery,Food Services,RESTAURANTS,Offline Sources,SALES,Business Manager
